Fragment, Score
*Oc1cc(Nc2ncc(*)c(*)n2)cc(*)c1O*, 0.0011397555603846574
*Oc1cc(Nc2ncc(*)c(*)n2)cc(OC)c1OC, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(*)c(OC)c2)ncc1[N+](*)=O, 0.0011397555603846574
*Oc1cc(*)cc(OC)c1OC, 0.0011397555603846574
*Nc1cc(O*)c(*)c(O*)c1, 0.0011397555603846574
*c1ncc([N+](*)=O)c(*)n1, 0.0011397555603846574
*c1cc(Nc2ncc([N+](=O)[O-])c(*)n2)cc(*)c1*, 0.0011397555603846574
*c1cc(*)c(*)c(OC)c1, 0.0011397555603846574
*c1cc(OC)c(*)c(OC)c1, 0.0011397555603846574
*Nc1ncc([N+](=O)[O-])c(Nc2ccccc2*)n1, 0.0011397555603846574
*Oc1cc(Nc2ncc(*)c(*)n2)cc(O*)c1O*, 0.0011397555603846574
*Oc1c(OC)cc(Nc2ncc(*)c(*)n2)cc1OC, 0.0011397555603846574
*Oc1c(*)cc(Nc2ncc([N+](=O)[O-])c(*)n2)cc1*, 0.0011397555603846574
*Oc1c(*)cc(*)cc1*, 0.0011397555603846574
*Nc1ncc([N+](=O)[O-])c(N*)n1, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(*)c(*)c2)ncc1[N+](*)=O, 0.0011397555603846574
*Nc1ccccc1C(*)=O, 0.0011397555603846574
*Oc1cc(Nc2ncc(*)c(*)n2)cc(*)c1*, 0.0011397555603846574
*Nc1cc(O*)c(*)c(OC)c1, 0.0011397555603846574
*Nc1nc(Nc2cc(O*)c(O*)c(O*)c2)ncc1*, 0.0011397555603846574
*Nc1ccccc1C(N)=O, 0.0011397555603846574
*c1cc(*)c(OC)c(*)c1, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(*)c(*)c2)ncc1*, 0.0011397555603846574
*c1cnc(Nc2cc(*)c(*)c(OC)c2)nc1*, 0.0011397555603846574
*Oc1cc(*)cc(O*)c1O*, 0.0011397555603846574
*Oc1cc(*)cc(*)c1OC, 0.0011397555603846574
*c1cnc(Nc2cc(*)c(*)c(*)c2)nc1*, 0.0011397555603846574
*Oc1cc(Nc2ncc([N+](*)=O)c(*)n2)cc(*)c1O*, 0.0011397555603846574
*c1ncc(*)c(Nc2ccccc2C(N)=O)n1, 0.0011397555603846574
*Nc1cc(OC)c(O*)c(OC)c1, 0.0011397555603846574
*Oc1c(*)cc(Nc2ncc(*)c(*)n2)cc1*, 0.0011397555603846574
*Nc1cc(*)c(OC)c(*)c1, 0.0011397555603846574
*Nc1ncc([N+](=O)[O-])c(*)n1, 0.0011397555603846574
*Nc1nc(*)ncc1[N+](=O)[O-], 0.0011397555603846574
*Nc1ncc(*)c(Nc2ccccc2C(N)=O)n1, 0.0011397555603846574
*c1cc(*)c(OC)c(OC)c1, 0.0011397555603846574
*Oc1cc(*)cc(*)c1O*, 0.0011397555603846574
*Oc1cc(Nc2ncc([N+](*)=O)c(*)n2)cc(*)c1*, 0.0011397555603846574
*Nc1cc(*)c(O*)c(*)c1, 0.0011397555603846574
*Nc1ccccc1*, 0.0011397555603846574
*Nc1ncc([N+](*)=O)c(Nc2ccccc2*)n1, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(O*)c(*)c2)ncc1*, 0.0011397555603846574
*C(=O)c1ccccc1Nc1nc(*)ncc1[N+](=O)[O-], 0.0011397555603846574
*Oc1cc(Nc2ncc(*)c(*)n2)cc(OC)c1*, 0.0011397555603846574
*Oc1c(*)cc(*)cc1OC, 0.0011397555603846574
*C(N)=O, 0.0011397555603846574
*c1cc(Nc2ncc([N+](*)=O)c(*)n2)cc(*)c1*, 0.0011397555603846574
*Oc1cc(Nc2ncc(*)c(*)n2)cc(*)c1OC, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(*)c(O*)c2)ncc1*, 0.0011397555603846574
*C(=O)c1ccccc1Nc1nc(*)ncc1[N+](*)=O, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(OC)c(O*)c2)ncc1*, 0.0011397555603846574
*c1cc(OC)c(OC)c(OC)c1, 0.0011397555603846574
*Nc1cc(*)c(*)c(OC)c1, 0.0011397555603846574
*Nc1cc(O*)c(O*)c(OC)c1, 0.0011397555603846574
*Oc1cc(Nc2ncc([N+](=O)[O-])c(*)n2)cc(*)c1*, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(O*)c(*)c2)ncc1[N+](*)=O, 0.0011397555603846574
*[N+](=O)[O-], 0.0011397555603846574
*Nc1cc(OC)c(OC)c(OC)c1, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(OC)c(*)c2)ncc1[N+](*)=O, 0.0011397555603846574
*[O-], 0.0011397555603846574
*Nc1ncc(*)c(Nc2ccccc2C(*)=O)n1, 0.0011397555603846574
*Oc1cc(*)cc(OC)c1*, 0.0011397555603846574
*Nc1cc(*)c(OC)c(OC)c1, 0.0011397555603846574
*C(=O)c1ccccc1*, 0.0011397555603846574
*Oc1cc(*)cc(OC)c1O*, 0.0011397555603846574
*Nc1ncc([N+](*)=O)c(Nc2ccccc2C(*)=O)n1, 0.0011397555603846574
*Oc1cc(Nc2ncc([N+](*)=O)c(*)n2)cc(O*)c1O*, 0.0011397555603846574
*c1ncc(*)c(Nc2ccccc2*)n1, 0.0011397555603846574
*Oc1cc(Nc2ncc(*)c(*)n2)cc(OC)c1O*, 0.0011397555603846574
*Nc1cc(O*)c(O*)c(O*)c1, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(*)c(*)c2)ncc1[N+](=O)[O-], 0.0011397555603846574
*Oc1c(OC)cc(*)cc1OC, 0.0011397555603846574
*Oc1cc(*)cc(*)c1*, 0.0011397555603846574
*Oc1cc(Nc2ncc(*)c(*)n2)cc(O*)c1*, 0.0011397555603846574
*Nc1cc(*)c(O*)c(OC)c1, 0.0011397555603846574
*C(=O)c1ccccc1Nc1nc(*)ncc1*, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(*)c(OC)c2)ncc1*, 0.0011397555603846574
*Nc1nc(Nc2cc(O*)c(*)c(O*)c2)ncc1*, 0.0011397555603846574
*Nc1nc(*)ncc1[N+](*)=O, 0.0011397555603846574
*Oc1c(*)cc(Nc2ncc(*)c(*)n2)cc1OC, 0.0011397555603846574
*Nc1cc(OC)c(*)c(OC)c1, 0.0011397555603846574
*c1cc(Nc2ncc([N+](*)=O)c(*)n2)cc(*)c1OC, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(O*)c(O*)c2)ncc1*, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(OC)c(*)c2)ncc1*, 0.0011397555603846574
*c1cc(Nc2ncc([N+](=O)[O-])c(*)n2)cc(OC)c1*, 0.0011397555603846574
*Nc1nc(Nc2cc(*)c(O*)c(*)c2)ncc1[N+](=O)[O-], 0.0011397555603846574
*c1cnc(Nc2cc(OC)c(*)c(OC)c2)nc1*, 0.0011397555603846574
*c1ncc([N+](=O)[O-])c(*)n1, 0.0011397555603846574
*c1ccccc1*, 0.0011397555603846574
*Oc1cc(Nc2ncc([N+](*)=O)c(*)n2)cc(OC)c1*, 0.0011397555603846574
*Nc1nc(Nc2cc(O*)c(*)c(OC)c2)ncc1*, 0.0011397555603846574
*Oc1cc(Nc2ncc([N+](=O)[O-])c(*)n2)cc(*)c1O*, 0.0011397555603846574
*Oc1cc(*)cc(O*)c1*, 0.0011397555603846574
*c1cnc(Nc2cc(*)c(OC)c(OC)c2)nc1*, 0.0011397555603846574
*c1cc(Nc2ncc([N+](=O)[O-])c(*)n2)cc(*)c1OC, 0.0011397555603846574
*Nc1cccc(*)c1, 0.0011267785427702488
*c1cnc2c(c1)N(*)CCN2, 0.0011174053359520302
